stage_index,stage_id,stage_name,req_level,boss_level,unlock_wins,campaigns_reached,stage_clears,clear_rate,boss_attempts,boss_win_rate,first_try_rate,avg_boss_attempts,avg_boss_turns,median_boss_start_level,p90_boss_start_level,avg_normal_battles,avg_normal_wins,avg_extra_normal_wins,normal_loss_rate,scout_win_share,guard_loop_battle_rate,battles_50_plus_rate,stalled_battles,stalled_battle_rate,avg_training_books,avg_fusions
1,meadow,はじまり草原,1,4,2,300,300,1,1123,0.26714158504007124,0,3.74,9.15,2,3,8.9,7.41,5.41,0.1677274429052789,0.16779127305443095,0.0021697203471552555,0,0,0,4.41,0
2,cave,こだま洞くつ,3,7,2,300,300,1,1571,0.19096117122851686,0.0033333333333333335,5.24,10.3,7,9,8.73,8.61,6.61,0.013368983957219251,0.11575687185443283,0.0014931740614334472,0,0,0,15.89,0
3,brook,しずく湖畔,5,10,3,300,300,1,1179,0.2544529262086514,0.09333333333333334,3.93,6.58,11,12.1,8.89,8.89,5.89,0,0.11365341335333834,0.00022256843979523704,0,0,0,19.05,0.02
4,volcano,ほむら火山,8,14,4,300,300,1,3423,0.0876424189307625,0.08333333333333333,11.41,6.31,14,15,18.81,18.61,14.61,0.010634526763559022,0.06037262629881763,0.0003077870113881194,0,0,0,38.89,0.03
5,tower,星晶の塔,12,20,5,300,261,0.87,8842,0.029518208550101788,0,29.47,5.28,18,22,43.51,42.81,37.81,0.01616362800674123,0.022658257416491474,0.0000885112409275978,0.0011506461320587714,0,0,94.38,0
6,snowfield,霜降り雪原,16,25,4,261,249,0.9540229885057471,5131,0.04852855193919314,0.019157088122605363,19.66,11.73,24,31,32.17,31.99,27.99,0.00547879942829919,0.03293413173652695,0.00007028888732691362,0.018134532930343714,0,0,123.36,0.06
7,thunder_ruins,雷鳴遺跡,21,31,5,249,220,0.8835341365461847,4923,0.04468819825309771,0.06827309236947791,19.77,11.11,30,39,32.28,32.23,27.23,0.0014930944382232176,0.034018691588785045,0,0.015243679003297912,0,0,129.93,0.04
8,prism_sanctuary,虹晶聖域,28,42,6,220,195,0.8863636363636364,9510,0.02050473186119874,0,43.23,6.96,35,43,112.4,98.35,92.37,0.125,0.008596385820585108,0.0001145311381531854,0.037394416607015035,0,0,537.08,0.09
9,poison_bog,毒霧の沼地,34,48,5,195,195,1,852,0.22887323943661972,0.3435897435897436,4.37,11.43,53,59.6,14.1,14.09,9.09,0.0007272727272727272,0.12882096069868995,0.00023315458148752622,0.003963627885287946,0,0,116.44,0.19
10,machine_city,古代機械都市,39,57,6,195,194,0.9948717948717949,3390,0.057227138643067846,0.03076923076923077,17.38,12.44,55,63,47.29,46.45,40.45,0.017677041535625205,0.0336718922499448,0.00007522756337922214,0.03182125930941097,0,0,471.46,0.19
11,deep_sea_temple,深海神殿,46,66,6,194,193,0.9948453608247423,7043,0.027403095271901177,0.015463917525773196,36.3,50.17,64,73,95.14,92.19,86.19,0.031045131928265697,0.014817714157906508,0.00007640294915383733,0.15208007029071322,0,0,1109.47,0.02
12,demon_gate,魔界門,54,76,7,193,168,0.8704663212435233,4629,0.03629293583927414,0.08808290155440414,23.98,152.35,83,91.8,64.74,60.95,53.95,0.058508083880262525,0.024738587095128793,0,0.378344812013097,5,0.0002822626171389861,655.76,0.05
13,sky_ruins,天空遺跡,68,86,7,168,108,0.6428571428571429,6646,0.016250376166114956,0.06547619047619048,39.56,188.8,92,100,103.72,101.71,94.71,0.01934002869440459,0.016327247191011238,0.00004088641753209584,0.27659661460462837,5,0.0002044320876604792,520.27,0
