run,profile,stage_index,stage_id,stage_name,req_level,boss_level,unlock_wins,reached,cleared,entry_highest_level,boss_start_highest_level,clear_highest_level,normalBattles,normalCombatWins,scoutWins,normalLosses,scoutEncounters,bossAttempts,bossLosses,bossTurns,recruitmentBossBattles,recruitmentBossLosses,totalBattles,totalTurns,guardTurns,maxGuardStreak,maxBattleTurns,battles50Plus,guardLoopBattles,stalledBattles,kos,trainingBooks,fusions,levelRecoveryBattles,gold_at_entry,gold_at_clear
1,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,6,2,2,2,2,3,2,27,0,0,9,45,0,0,11,0,0,0,10,8,0,0,230,663
1,rush,2,cave,こだま洞くつ,3,7,2,1,1,6,7,10,6,6,0,0,0,5,4,41,0,0,11,56,0,0,10,0,0,0,14,16,0,0,663,1377
1,rush,3,brook,しずく湖畔,5,10,3,1,1,10,11,14,6,6,0,0,0,4,3,22,0,0,10,34,0,0,6,0,0,0,10,25,0,0,1377,1190
1,rush,4,volcano,ほむら火山,8,14,4,1,1,14,14,23,46,45,0,1,0,42,41,213,0,0,88,340,0,0,6,0,0,0,136,89,0,0,1190,946
1,rush,5,tower,星晶の塔,12,20,5,1,0,23,23,0,85,85,0,0,0,80,80,352,0,0,165,592,0,0,7,0,0,0,258,190,0,0,946,0
1,rush,6,snowfield,霜降り雪原,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,7,thunder_ruins,雷鳴遺跡,21,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,8,prism_sanctuary,虹晶聖域,28,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,9,poison_bog,毒霧の沼地,34,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,10,machine_city,古代機械都市,39,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,11,deep_sea_temple,深海神殿,46,66,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,12,demon_gate,魔界門,54,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,13,sky_ruins,天空遺跡,68,86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,6,4,2,0,3,3,2,39,1,0,10,58,9,4,17,0,0,0,8,5,0,0,230,910
2,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,7,10,4,3,1,0,3,2,1,22,2,2,8,50,3,2,15,0,0,0,11,8,0,0,1168,2912
2,balanced,3,brook,しずく湖畔,5,10,3,1,1,10,11,14,7,6,1,0,3,3,2,16,2,2,12,42,1,1,8,0,0,0,14,31,0,0,2256,1272
2,balanced,4,volcano,ほむら火山,8,14,4,1,1,14,13,16,10,9,1,0,3,4,3,20,2,2,16,49,2,1,7,0,0,0,17,31,0,0,986,1184
2,balanced,5,tower,星晶の塔,12,20,5,1,1,16,17,21,18,16,1,1,4,7,6,45,2,2,27,122,0,0,12,0,0,0,30,50,0,0,917,1790
2,balanced,6,snowfield,霜降り雪原,16,25,4,1,1,21,21,30,34,33,1,0,3,16,15,122,2,2,52,212,6,1,14,0,0,0,53,141,0,0,1387,3595
2,balanced,7,thunder_ruins,雷鳴遺跡,21,31,5,1,1,30,31,36,29,28,1,0,6,13,12,286,2,2,44,361,7,1,31,0,0,0,47,137,0,0,2785,3094
2,balanced,8,prism_sanctuary,虹晶聖域,28,42,6,1,1,36,37,57,127,118,0,9,17,57,56,319,2,2,186,812,12,1,26,0,0,0,226,678,0,0,2397,4928
2,balanced,9,poison_bog,毒霧の沼地,34,48,5,1,1,57,58,59,5,4,1,0,3,1,0,6,2,2,8,26,0,0,6,0,0,0,8,0,0,0,3817,16714
2,balanced,10,machine_city,古代機械都市,39,57,6,1,1,59,59,73,84,83,1,0,4,40,39,288,2,2,126,520,16,2,18,0,0,0,127,907,0,0,12944,8121
2,balanced,11,deep_sea_temple,深海神殿,46,66,6,1,1,73,74,97,136,134,0,2,10,65,64,2592,2,2,203,3160,74,1,72,37,0,0,222,1664,0,0,6290,14640
2,balanced,12,demon_gate,魔界門,54,76,7,1,0,97,98,0,170,166,1,3,6,80,80,6093,0,0,250,6898,13,1,86,82,0,0,293,326,0,0,11338,0
2,balanced,13,sky_ruins,天空遺跡,68,86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,collector,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,11,7,1,3,7,3,2,33,4,3,18,105,13,4,14,0,0,0,16,0,0,0,230,1141
3,collector,2,cave,こだま洞くつ,3,7,2,1,1,5,6,11,11,11,0,0,2,4,3,46,2,1,17,106,5,3,15,0,0,0,9,7,0,0,857,2419
3,collector,3,brook,しずく湖畔,5,10,3,1,1,11,11,15,15,13,2,0,7,5,4,33,5,5,25,84,0,0,11,0,0,0,29,24,0,0,2683,1305
3,collector,4,volcano,ほむら火山,8,14,4,1,1,15,13,18,23,20,2,1,8,7,6,147,5,5,35,275,5,1,30,0,0,0,39,28,0,0,691,1612
3,collector,5,tower,星晶の塔,12,20,5,1,1,18,17,22,35,30,2,3,12,10,9,51,5,5,50,296,5,1,17,0,0,0,68,28,0,0,852,3491
3,collector,6,snowfield,霜降り雪原,16,25,4,1,1,22,22,24,7,4,3,0,9,2,1,79,5,5,14,147,2,1,48,0,0,0,22,20,0,0,1845,4619
3,collector,7,thunder_ruins,雷鳴遺跡,21,31,5,1,1,24,25,30,23,21,2,0,8,7,6,143,5,5,35,237,4,1,27,0,0,0,36,97,0,0,2440,3601
3,collector,8,prism_sanctuary,虹晶聖域,28,42,6,1,1,30,32,60,178,168,0,10,17,55,54,909,5,5,238,2327,27,2,60,6,0,0,221,835,0,0,1902,7841
3,collector,9,poison_bog,毒霧の沼地,34,48,5,1,1,60,61,61,5,3,2,0,8,1,0,31,5,5,11,83,0,0,31,0,0,0,16,0,0,0,4140,13460
3,collector,10,machine_city,古代機械都市,39,57,6,1,1,61,61,67,36,32,4,0,10,11,10,325,5,5,52,490,19,2,70,2,0,0,52,326,1,0,7106,13854
3,collector,11,deep_sea_temple,深海神殿,46,66,6,1,1,67,68,100,207,199,2,6,16,66,65,4326,5,5,278,5106,37,2,290,36,0,0,228,2137,0,0,7312,25243
3,collector,12,demon_gate,魔界門,54,76,7,1,1,100,92,97,25,20,2,3,11,6,5,1054,5,5,36,2699,13,2,204,17,0,0,52,383,0,0,13324,15585
3,collector,13,sky_ruins,天空遺跡,68,86,7,1,1,97,89,100,138,133,3,2,10,44,43,13757,5,5,187,14115,25,3,327,44,0,0,159,802,0,0,8227,47969
4,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,4,2,2,0,2,3,2,26,0,0,7,38,0,0,9,0,0,0,7,8,0,0,230,706
4,rush,2,cave,こだま洞くつ,3,7,2,1,1,6,7,12,12,12,0,0,0,11,10,77,0,0,23,102,0,0,8,0,0,0,31,34,0,0,706,563
4,rush,3,brook,しずく湖畔,5,10,3,1,1,12,13,14,4,4,0,0,0,2,1,13,0,0,6,22,0,0,7,0,0,0,5,8,0,0,563,1176
4,rush,4,volcano,ほむら火山,8,14,4,1,1,14,15,23,43,43,0,0,0,40,39,202,0,0,83,305,0,0,6,0,0,0,123,87,0,0,1176,953
4,rush,5,tower,星晶の塔,12,20,5,1,0,23,23,0,85,85,0,0,0,80,80,349,0,0,165,590,0,0,6,0,0,0,259,181,0,0,953,0
4,rush,6,snowfield,霜降り雪原,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,7,thunder_ruins,雷鳴遺跡,21,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,8,prism_sanctuary,虹晶聖域,28,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,9,poison_bog,毒霧の沼地,34,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,10,machine_city,古代機械都市,39,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,11,deep_sea_temple,深海神殿,46,66,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,12,demon_gate,魔界門,54,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,13,sky_ruins,天空遺跡,68,86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,11,5,1,5,8,3,2,23,2,1,16,67,5,3,11,0,0,0,13,4,0,0,230,898
5,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,5,10,6,5,1,0,3,3,2,35,2,0,11,80,4,2,16,0,0,0,4,13,0,0,869,2750
5,balanced,3,brook,しずく湖畔,5,10,3,1,1,11,11,14,7,6,1,0,3,3,2,19,2,1,12,46,0,0,8,0,0,0,10,24,0,0,3018,2024
5,balanced,4,volcano,ほむら火山,8,14,4,1,1,13,13,14,4,3,1,0,3,1,0,4,2,2,7,20,0,0,5,0,0,0,4,0,0,0,3449,4432
5,balanced,5,tower,星晶の塔,12,20,5,1,1,14,16,23,27,26,1,0,3,12,11,77,2,2,41,140,0,0,16,0,0,0,42,108,0,0,3433,1876
5,balanced,6,snowfield,霜降り雪原,16,25,4,1,1,23,24,30,16,15,1,0,6,7,6,48,2,2,25,105,3,1,10,0,0,0,27,95,0,0,1453,4585
5,balanced,7,thunder_ruins,雷鳴遺跡,21,31,5,1,1,30,29,35,27,26,1,0,5,12,11,333,2,2,41,380,4,1,96,4,0,0,42,144,0,0,3551,3020
5,balanced,8,prism_sanctuary,虹晶聖域,28,42,6,1,1,35,36,52,88,82,0,6,13,39,38,202,2,2,129,453,3,1,13,0,0,0,149,465,0,0,2340,10334
5,balanced,9,poison_bog,毒霧の沼地,34,48,5,1,1,52,53,56,17,16,1,0,4,7,6,53,2,2,26,98,3,2,15,0,0,0,26,225,0,0,8003,12943
5,balanced,10,machine_city,古代機械都市,39,57,6,1,1,56,57,67,54,53,1,0,6,25,24,184,2,2,81,291,7,1,18,0,0,0,83,650,0,0,10024,7211
5,balanced,11,deep_sea_temple,深海神殿,46,66,6,1,1,67,68,77,43,41,1,1,5,19,18,167,2,2,64,285,0,0,22,0,0,0,70,541,0,0,5585,10120
5,balanced,12,demon_gate,魔界門,54,76,7,1,1,77,75,100,113,102,1,10,14,49,48,11981,2,2,164,13593,62,2,327,56,0,0,207,1572,0,0,7838,20326
5,balanced,13,sky_ruins,天空遺跡,68,86,7,1,0,100,100,0,7,6,1,0,1,1,0,400,0,0,8,421,0,0,400,1,0,1,0,0,0,0,15741,0
6,collector,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,12,10,1,1,5,4,3,38,4,3,20,99,6,2,13,0,0,0,16,0,0,0,230,1738
6,collector,2,cave,こだま洞くつ,3,7,2,1,1,7,8,11,8,7,1,0,7,3,2,54,5,5,16,122,8,5,23,0,1,0,24,9,0,0,1264,2167
6,collector,3,brook,しずく湖畔,5,10,3,1,1,11,11,12,6,4,2,0,8,2,1,10,5,5,13,53,0,0,7,0,0,0,20,7,0,0,1145,1541
6,collector,4,volcano,ほむら火山,8,14,4,1,1,12,12,15,16,11,2,3,11,4,3,33,5,5,25,140,9,1,18,0,0,0,39,0,0,0,815,3517
6,collector,5,tower,星晶の塔,12,20,5,1,1,15,14,22,42,40,1,1,10,13,12,83,5,5,60,234,7,2,22,0,0,0,64,52,0,0,1858,2269
6,collector,6,snowfield,霜降り雪原,16,25,4,1,1,22,23,34,55,53,2,0,9,18,17,524,5,5,78,704,19,2,50,1,0,0,71,153,0,0,1200,4179
6,collector,7,thunder_ruins,雷鳴遺跡,21,31,5,1,1,34,33,39,39,35,3,1,4,12,11,359,0,0,51,441,18,2,36,0,0,0,29,128,1,0,2208,3630
6,collector,8,prism_sanctuary,虹晶聖域,28,42,6,1,1,39,40,51,103,94,2,7,16,31,30,235,5,5,139,2387,38,2,42,0,0,0,164,471,0,0,3630,5577
6,collector,9,poison_bog,毒霧の沼地,34,48,5,1,1,51,52,65,86,82,4,0,10,28,27,258,5,5,119,1015,25,2,30,0,0,0,126,598,2,0,2945,8685
6,collector,10,machine_city,古代機械都市,39,57,6,1,1,65,65,79,112,106,2,4,12,35,34,2584,5,5,152,3325,66,2,117,35,0,0,210,900,1,0,4584,8091
