run,profile,profile_label,seed,status,completed,failed_stage,failure_reason,maxBattles,maxTurnsPerBattle,maxBossLosses,totalBattles,normalBattles,bossBattles,totalTurns,wins,losses,stalledBattles,timerOrTurnCaps,kos,guardTurns,maxGuardStreak,maxBattleTurns,guardLoopBattles,battles50Plus,battles100Plus,scoutAttempts,scoutSuccesses,zeroRewardScoutWins,scoutCharmPurchases,scoutCharmConsumed,scoutCharmWasted,charmWasteRate,fusions,fusionLevelDebt,levelRecoveryBattles,trainingBooks,trainingGold,freeHeals,questClaims,rankClaims,battleGold,questGold,rankGold,defeatGoldLost,goldInflow,goldSink,goldSinkRate,minGold,finalGold,finalHighestLevel,finalPlayerRank,firstBRankBattle,firstARankBattle,firstSRankBattle,finalOwned,finalDexDiscovered,finalDexScouted,bossesCleared,finalParty
1,rush,速攻,3258477,stuck,0,tower,boss_retry_cap,1000,400,80,283,149,134,1067,150,133,0,0,428,0,0,11,0,0,0,2,2,2,0,1,1,1,0,0,0,328,19680,283,23,6,17262,6400,1550,5368,25292,25048,0.9903526806895461,80,244,33,7,,,,3,24,3,4,リーフリン Lv33 / つぼみラビ Lv32 / ぷるミン Lv33
2,balanced,バランス,3771453417,stuck,0,demon_gate,boss_retry_cap,1000,400,80,942,630,312,12310,627,315,0,0,1056,143,4,86,0,119,0,62,12,11,0,1,1,1,0,0,0,3978,238680,942,40,12,420651,41780,6850,213332,469361,452012,0.9630369800643854,80,17349,100,13,,,,13,57,13,11,ルミネル Lv100 / スノーニャ Lv100 / シンドレイク Lv100
3,collector,収集・配合,3632256591,completed,1,,,1000,400,80,996,714,282,26070,701,295,0,0,947,155,4,327,0,105,75,100,27,25,570,571,514,0.9001751313485113,1,47,0,4687,281220,996,45,13,493964,64480,8250,231737,566774,541457,0.9553314019344571,80,25317,100,14,444,777,,27,64,29,13,ドゥームゲイザー Lv100 / 雲ぷる Lv100 / コーラルルーメ Lv100
4,rush,速攻,2885738923,stuck,0,tower,boss_retry_cap,1000,400,80,284,148,136,1057,152,132,0,0,425,0,0,9,0,0,0,2,2,2,0,1,1,1,0,0,0,318,19080,284,23,6,16660,6400,1550,5280,24690,24360,0.9866342648845686,80,330,33,7,,,,3,23,3,4,プフバット Lv33 / つぼみラビ Lv32 / ぷるミン Lv33
5,balanced,バランス,2642209564,stuck,0,sky_ruins,boss_stalled,1000,400,80,625,420,205,15979,414,210,1,1,677,91,3,400,0,61,57,61,14,12,0,1,1,1,0,0,0,3841,230460,625,43,11,260892,55830,5600,67567,322402,298027,0.9243956303000602,80,24375,100,12,39,,,15,60,15,12,ルーメンオウル Lv100 / コーラルルーメ Lv100 / 雲ぷる Lv81
6,collector,収集・配合,1922724446,completed,1,,,1000,400,80,931,667,264,20358,652,279,0,0,1046,261,5,248,1,120,79,108,25,24,511,512,450,0.87890625,4,143,0,4126,247560,931,45,12,372645,64480,6850,153487,444055,426597,0.9606850502753037,80,17458,100,13,216,216,,22,64,28,13,アビスジェリー Lv100 / ヘルナイト Lv94 / 雲ぷる Lv90
7,rush,速攻,485318323,stuck,0,tower,boss_retry_cap,1000,400,80,278,150,128,980,144,134,0,0,392,0,0,8,0,0,0,4,2,2,0,1,1,1,0,0,0,308,18480,278,23,6,16205,6400,1550,5435,24235,23915,0.9867959562616051,80,320,33,7,,,,3,24,3,4,アワマリン Lv31 / つぼみラビ Lv33 / ぷるミン Lv32
8,balanced,バランス,1650766873,completed,1,,,1000,400,80,427,282,145,3447,289,138,0,0,463,136,5,94,1,22,0,70,12,12,0,1,1,1,0,0,0,2398,143880,427,43,9,160824,63480,3550,56698,227934,200578,0.8799828020391868,80,27356,87,10,316,316,,13,63,13,13,パールセラフ Lv81 / クラッグベア Lv85 / クリスタゴン Lv87
9,collector,収集・配合,213382892,stuck,0,sky_ruins,boss_training_campaign_cap,1000,400,80,1000,756,244,25156,734,266,0,0,897,154,3,282,0,127,90,110,29,28,646,647,575,0.8887171561051005,2,86,137,4043,242580,1000,44,13,434727,55980,8250,194964,499037,469844,0.9415013315645934,80,29193,100,14,384,828,,28,66,31,12,ドゥームゲイザー Lv97 / アビスジェリー Lv100 / ルーメンオウル Lv100
10,rush,速攻,2035824539,stuck,0,tower,boss_retry_cap,1000,400,80,234,125,109,885,125,109,0,0,327,0,0,10,0,0,0,3,2,2,0,1,1,1,0,0,0,295,17700,234,23,6,14606,6400,1550,4632,22636,22332,0.9865700653825764,80,304,32,7,,,,3,22,3,4,ペブロン Lv31 / つぼみラビ Lv32 / ぷるミン Lv32
