run,profile,profile_label,seed,status,completed,failed_stage,failure_reason,maxBattles,maxTurnsPerBattle,maxBossLosses,totalBattles,normalBattles,bossBattles,totalTurns,wins,losses,stalledBattles,timerOrTurnCaps,kos,guardTurns,maxGuardStreak,maxBattleTurns,guardLoopBattles,battles50Plus,battles100Plus,scoutAttempts,scoutSuccesses,zeroRewardScoutWins,scoutCharmPurchases,scoutCharmConsumed,scoutCharmWasted,charmWasteRate,fusions,fusionLevelDebt,levelRecoveryBattles,trainingBooks,trainingGold,freeHeals,questClaims,rankClaims,battleGold,questGold,rankGold,defeatGoldLost,goldInflow,goldSink,goldSinkRate,minGold,finalGold,finalHighestLevel,finalPlayerRank,firstBRankBattle,firstARankBattle,firstSRankBattle,finalOwned,finalDexDiscovered,finalDexScouted,bossesCleared,finalParty
1,rush,速攻,1888483143,stuck,0,tower,boss_retry_cap,1000,400,80,319,166,153,1297,169,150,0,0,489,0,0,12,0,0,0,2,2,2,0,1,1,1,0,0,0,339,20340,319,23,6,18456,6400,1550,5810,26486,26150,0.9873140527070905,80,336,34,7,,,,3,23,3,4,プフバット Lv33 / リーフリン Lv33 / ぷるミン Lv34
2,balanced,バランス,3322602929,completed,1,,,1000,400,80,560,372,188,4447,382,178,0,0,602,121,1,69,0,32,0,49,14,11,0,1,1,1,0,0,0,3608,216480,560,44,10,227194,64330,4500,64763,296104,281243,0.9498115526977008,80,14861,91,11,34,540,,15,62,15,13,ストームジン Lv75 / ヘルナイト Lv78 / ルミネル Lv91
3,collector,収集・配合,1442798361,stuck,0,sky_ruins,campaign_battle_cap_at_boss,1000,400,80,1000,722,278,55037,703,297,0,0,1204,237,1,299,0,265,231,108,26,25,608,609,546,0.896551724137931,3,83,0,3554,213240,1000,44,13,576223,55980,8250,364725,640533,608365,0.9497793244063928,80,32168,100,14,171,,,24,62,29,12,ルーメンオウル Lv100 / コーラルルーメ Lv100 / ヨミオオカミ Lv100
4,rush,速攻,2621162721,stuck,0,tower,boss_retry_cap,1000,400,80,224,118,106,865,122,102,0,0,318,0,0,9,0,0,0,2,2,2,0,1,1,1,0,0,0,300,18000,224,23,6,14881,6400,1550,4633,22911,22633,0.9878660905242024,80,278,32,7,,,,3,24,3,4,ペブロン Lv31 / つぼみラビ Lv32 / ぷるミン Lv32
5,balanced,バランス,797811332,completed,1,,,1000,400,80,451,304,147,4764,297,154,0,0,526,69,1,147,0,30,13,77,14,12,0,1,1,1,0,0,0,2471,148260,451,44,9,180596,64330,3550,73368,248556,221628,0.8916622411046203,80,26928,91,10,134,318,,15,58,15,13,パールセラフ Lv81 / ヨミオオカミ Lv88 / スノーフェア Lv91
6,collector,収集・配合,4174108183,completed,1,,,1000,400,80,692,487,205,12540,479,213,0,0,738,101,1,227,0,65,40,117,26,24,384,385,321,0.8337662337662337,1,38,0,3262,195720,692,45,11,275767,64480,5600,115195,345927,330115,0.9542909342144441,80,15812,95,12,51,660,,26,62,28,13,ドゥームゲイザー Lv71 / アビスジェリー Lv95 / 雲ぷる Lv82
7,rush,速攻,3707760754,stuck,0,tower,boss_retry_cap,1000,400,80,352,184,168,1279,184,168,0,0,505,0,0,8,0,0,0,2,2,2,0,1,1,1,0,0,0,347,20820,352,23,7,18573,6400,2100,6046,27153,26866,0.9894302655323537,80,287,34,8,,,,3,25,3,4,プフバット Lv33 / リーフリン Lv33 / ぷるミン Lv34
8,balanced,バランス,1882738370,completed,1,,,1000,400,80,529,352,177,2676,356,173,0,0,573,125,1,148,0,4,3,59,12,11,0,1,1,1,0,0,0,3648,218880,529,43,10,230388,63480,4500,64885,298448,283765,0.9508021497882378,80,14683,90,11,456,,,13,62,13,13,ヘルナイト Lv85 / ゲイルグリフ Lv84 / コーラルルーメ Lv90
9,collector,収集・配合,490628827,stuck,0,demon_gate,boss_training_campaign_cap,1000,400,80,1000,731,269,62066,696,304,0,0,1148,246,1,307,0,326,267,125,25,23,583,584,529,0.9058219178082192,1,25,0,3872,232320,1000,43,13,463618,49780,8250,237052,521728,498522,0.9555208844455348,80,23206,100,14,444,701,,25,57,27,11,ルーメンオウル Lv100 / アビスジェリー Lv100 / ルミネル Lv100
10,rush,速攻,2736258227,stuck,0,tower,boss_retry_cap,1000,400,80,266,142,124,918,140,126,0,0,404,0,0,8,0,0,0,2,2,2,0,1,1,1,0,0,0,308,18480,266,23,6,15864,6400,1550,5116,23894,23596,0.9875282497698167,80,298,32,7,,,,3,23,3,4,プフバット Lv31 / リーフリン Lv32 / ぷるミン Lv32
11,balanced,バランス,1355244329,completed,1,,,1000,400,80,587,387,200,5702,401,186,0,0,625,98,1,235,0,33,5,43,14,13,0,1,1,1,1,11,0,3813,228780,587,45,10,236595,64480,4500,62386,305655,291166,0.952596882105642,80,14489,97,11,,,,14,64,16,13,コーラルルーメ Lv93 / ルミネル Lv97 / 雲ぷる Lv79
12,collector,収集・配合,2757286845,completed,1,,,1000,400,80,794,586,208,20336,585,209,0,0,722,101,1,355,0,109,53,81,31,29,484,485,435,0.8969072164948454,3,125,94,3620,217200,794,45,12,330614,64480,6850,140788,402024,382188,0.9506596621097247,80,19836,100,13,212,536,,29,65,34,13,パールセラフ Lv88 / アビスジェリー Lv100 / ルーメンオウル Lv100
13,rush,速攻,575503707,stuck,0,tower,boss_retry_cap,1000,400,80,264,138,126,996,142,122,0,0,390,0,0,10,0,0,0,2,2,2,0,1,1,1,0,0,0,318,19080,264,23,6,16472,6400,1550,5137,24502,24217,0.9883682964655947,80,285,33,7,,,,3,22,3,4,リーフリン Lv32 / つぼみラビ Lv33 / ぷるミン Lv33
14,balanced,バランス,227496998,completed,1,,,1000,400,80,734,488,246,2830,492,242,0,0,814,125,1,26,0,0,0,39,13,12,0,1,1,1,0,0,0,3932,235920,734,43,11,269520,63480,5600,71414,338680,307334,0.9074465572221566,80,31346,91,12,218,730,,14,62,14,13,ストームジン Lv72 / ヘルナイト Lv74 / アビスフィン Lv91
15,collector,収集・配合,472540135,completed,1,,,1000,400,80,517,356,161,5967,343,174,0,0,694,106,1,115,0,43,9,124,29,27,289,290,221,0.7620689655172413,1,35,0,2234,134040,517,45,10,196516,64480,4500,102079,265576,250569,0.9434926348766455,80,15007,77,11,150,485,,29,62,30,13,ドゥームゲイザー Lv74 / ストームジン Lv72 / 雲ぷる Lv77
16,rush,速攻,2509885982,stuck,0,snowfield,boss_retry_cap,1000,400,80,305,163,142,1073,162,143,0,0,407,0,0,9,0,0,0,3,2,2,0,1,1,1,0,0,0,481,28860,305,25,7,25148,9000,2100,7087,36328,35947,0.989512221977538,80,381,39,8,,,,3,30,3,5,ペブロン Lv39 / ぷるミン Lv39 / プフバット Lv39
17,balanced,バランス,658668821,completed,1,,,1000,400,80,714,475,239,3341,481,233,0,0,745,109,1,27,0,0,0,35,13,11,0,1,1,1,0,0,0,3991,239460,714,43,11,328552,63480,5600,129373,397712,368833,0.9273871545238765,80,28879,100,12,35,587,,14,61,14,13,ドゥームゲイザー Lv93 / アビスフィン Lv100 / アイスタートル Lv100
18,collector,収集・配合,2584510608,completed,1,,,1000,400,80,601,426,175,12286,403,198,0,0,749,130,1,204,0,98,31,114,27,24,334,335,257,0.7671641791044777,0,0,0,2874,172440,601,44,10,241912,64330,4500,110822,310822,299962,0.9650603882608052,80,10860,90,11,127,127,,28,60,28,13,ドゥームゲイザー Lv78 / アビスジェリー Lv90 / ルーメンオウル Lv90
19,rush,速攻,1002220015,stuck,0,snowfield,boss_retry_cap,1000,400,80,376,197,179,1376,199,177,0,0,532,0,0,8,0,0,0,4,2,2,0,1,1,1,0,0,0,552,33120,376,25,7,30718,9000,2100,8392,41898,41512,0.9907871497446179,80,386,42,8,,,,3,29,3,5,トゲホッグ Lv41 / ぷるミン Lv42 / プフバット Lv42
20,balanced,バランス,1325558508,stuck,0,prism_sanctuary,boss_retry_cap,1000,400,80,434,289,145,1749,289,145,0,0,468,51,1,34,0,0,0,23,9,8,0,1,1,1,0,0,0,1385,83100,434,31,9,88728,13180,3550,21218,105538,104318,0.9884401826830147,80,1220,62,10,189,,,10,34,10,7,スノーフェア Lv61 / グルーモス Lv61 / シンドレイク Lv62
21,collector,収集・配合,110078734,completed,1,,,1000,400,80,718,502,216,11292,489,229,0,0,855,215,1,253,0,90,14,112,19,19,388,389,327,0.8406169665809768,1,39,0,4030,241800,718,45,11,315110,64480,5600,109571,385270,370771,0.9623666519583669,80,14499,93,12,344,,,19,63,21,13,アビスジェリー Lv92 / ヘルナイト Lv92 / 雲ぷる Lv93
22,rush,速攻,1385316698,stuck,0,prism_sanctuary,boss_retry_cap,1000,400,80,543,285,258,1928,289,254,0,0,797,0,0,9,0,0,0,4,2,2,0,1,1,1,0,0,0,1256,75360,543,28,9,74930,12500,3550,15182,91060,90542,0.9943114430046124,80,518,60,10,,,,3,34,3,7,ドリモール Lv57 / リーフリン Lv59 / ぷるミン Lv60
23,balanced,バランス,893239537,completed,1,,,1000,400,80,731,489,242,10345,484,247,0,0,795,135,1,231,0,54,52,49,14,13,0,1,1,1,0,0,0,4347,260820,731,44,11,283910,64330,5600,78438,353920,339258,0.9585725587703435,80,14662,95,12,649,,,15,61,15,13,アビスジェリー Lv95 / ヘルナイト Lv84 / 雲ぷる Lv87
24,collector,収集・配合,2941744274,stuck,0,demon_gate,boss_retry_cap,1000,400,80,980,713,267,64473,689,291,0,0,1088,202,1,315,0,337,279,111,26,24,588,589,523,0.8879456706281834,1,39,0,3331,199860,980,43,13,466196,49780,8250,268872,524306,498132,0.9500787707941546,80,26174,100,14,567,,,26,55,28,11,ルーメンオウル Lv100 / アビスジェリー Lv100 / ルミネル Lv100
25,rush,速攻,2808118895,stuck,0,thunder_ruins,boss_retry_cap,1000,400,80,509,265,244,1856,269,240,0,0,734,0,0,11,0,0,0,2,2,2,0,1,1,1,0,0,0,860,51600,509,26,8,51187,10000,2750,12005,64017,63605,0.9935642095068498,80,412,51,9,,,,3,31,3,6,トゲホッグ Lv50 / ぷるミン Lv51 / プフバット Lv51
26,balanced,バランス,603884053,stuck,0,sky_ruins,boss_stalled,1000,400,80,529,355,174,7327,354,174,1,1,587,70,1,400,0,26,23,42,16,14,0,1,1,1,0,0,0,3309,198540,529,43,10,219393,55830,4500,56316,279803,254856,0.9108408415921202,80,24947,97,11,,,,17,56,17,12,コーラルルーメ Lv97 / ルーメンオウル Lv92 / 雲ぷる Lv81
27,collector,収集・配合,2323825643,stuck,0,demon_gate,boss_retry_cap,1000,400,80,1000,724,276,54613,717,283,0,0,1089,219,1,313,0,285,247,103,29,27,602,603,553,0.9170812603648425,3,129,0,3838,230280,1000,43,13,503373,49780,8250,275186,561483,535566,0.9538418794513814,80,25917,100,14,156,678,,27,58,32,11,ルーメンオウル Lv100 / アビスジェリー Lv100 / ルミネル Lv100
28,rush,速攻,3552834882,stuck,0,tower,boss_retry_cap,1000,400,80,252,132,120,929,136,116,0,0,386,0,0,10,0,0,0,2,2,2,0,1,1,1,0,0,0,307,18420,252,23,6,15556,6400,1550,4885,23586,23305,0.98808615280251,80,281,32,7,,,,3,24,3,4,プフバット Lv31 / つぼみラビ Lv32 / ぷるミン Lv32
29,balanced,バランス,580118424,completed,1,,,1000,400,80,804,540,264,9295,529,275,0,0,884,102,1,277,0,38,35,50,14,12,0,1,1,1,0,0,0,3818,229080,804,44,12,315608,64330,6850,127711,386868,356791,0.9222551361187795,80,30077,100,13,42,,,15,63,15,13,コーラルルーメ Lv99 / スノーフェア Lv100 / グルーモス Lv100
30,collector,収集・配合,733173149,stuck,0,prism_sanctuary,campaign_battle_cap_before_boss_unlock,1000,400,80,1000,923,77,5729,164,836,0,0,1809,36,1,99,0,16,0,59,19,17,137,138,106,0.7681159420289855,2,44,0,300,18000,1000,34,7,25191,14780,2100,17293,42151,42143,0.9998102061635549,8,8,35,8,239,243,,18,34,22,7,アストラルワーム Lv1 / ルーメンオウル Lv35
31,rush,速攻,603548017,stuck,0,snowfield,boss_retry_cap,1000,400,80,393,208,185,1427,205,188,0,0,564,0,0,9,0,0,0,4,2,2,0,1,1,1,0,0,0,545,32700,393,25,7,30825,9000,2100,8962,42005,41662,0.9918343054398286,80,343,42,8,,,,3,28,3,5,トゲホッグ Lv41 / ぷるミン Lv42 / プフバット Lv42
32,balanced,バランス,982725165,stuck,0,demon_gate,boss_stalled,1000,400,80,641,428,213,18069,425,215,1,1,694,87,1,400,0,64,63,39,13,13,0,1,1,1,0,0,0,3563,213780,641,40,11,255798,41780,5600,74710,303258,288490,0.9513021915332819,80,14768,100,12,170,,,14,57,14,11,ルーメンオウル Lv100 / コーラルルーメ Lv99 / グルーモス Lv100
33,collector,収集・配合,1307210243,stuck,0,sky_ruins,boss_training_campaign_cap,1000,400,80,1000,726,274,44494,698,302,0,0,1062,154,1,334,0,198,140,137,25,23,587,588,507,0.8622448979591837,3,113,0,3837,230220,1000,44,13,478909,55980,8250,253383,543219,512953,0.9442839812304061,80,30266,100,14,61,,,23,65,28,12,アビスジェリー Lv100 / ルーメンオウル Lv100 / ルミネル Lv100
34,rush,速攻,3073841376,stuck,0,tower,boss_retry_cap,1000,400,80,321,167,154,1201,170,151,0,0,496,0,0,11,0,0,0,2,2,2,0,1,1,1,0,0,0,339,20340,321,23,6,18461,6400,1550,5822,26491,26162,0.9875806877807557,80,329,34,7,,,,3,23,3,4,プフバット Lv33 / つぼみラビ Lv34 / ぷるミン Lv34
35,balanced,バランス,3512109664,completed,1,,,1000,400,80,617,410,207,11401,413,204,0,0,691,101,1,222,0,62,35,66,13,12,0,1,1,1,0,0,0,3895,233700,617,43,11,291500,63480,5600,99572,360660,333272,0.9240614429102202,80,27388,100,12,477,477,,14,61,14,13,ドゥームゲイザー Lv89 / コーラルルーメ Lv100 / ルミネル Lv100
36,collector,収集・配合,4106902329,stuck,0,demon_gate,campaign_battle_cap_at_boss,1000,400,80,1000,728,272,36483,697,303,0,0,1115,221,1,314,0,159,143,98,25,24,573,574,506,0.8815331010452961,3,113,0,3904,234240,1000,42,13,412842,42780,8250,175094,463952,437984,0.9440286926233749,80,25968,100,14,277,788,,23,58,28,11,ルーメンオウル Lv100 / アビスジェリー Lv100 / コーラルルーメ Lv93
37,rush,速攻,391409732,stuck,0,snowfield,boss_retry_cap,1000,400,80,323,170,153,1127,173,150,0,0,456,0,0,10,0,0,0,3,2,2,0,1,1,1,0,0,0,515,30900,323,25,7,27363,9000,2100,7336,38543,38236,0.9920348701450328,80,307,40,8,,,,3,29,3,5,ドリモール Lv40 / プフバット Lv40 / ぷるミン Lv40
38,balanced,バランス,611985749,completed,1,,,1000,400,80,506,336,170,1787,341,165,0,0,553,97,1,19,0,0,0,44,13,11,0,1,1,1,0,0,0,3337,200220,506,43,10,208186,63480,4500,61286,276246,261506,0.9466417613286708,80,14740,92,11,304,,,14,63,14,13,ヘルナイト Lv71 / アビスフィン Lv89 / シンダーホーン Lv92
39,collector,収集・配合,4232781281,stuck,0,demon_gate,boss_stalled,1000,400,80,709,507,202,15316,508,200,1,1,668,103,1,400,0,77,37,91,25,23,397,398,346,0.8693467336683417,2,81,11,3429,205740,709,43,11,253716,49780,5600,79664,309176,305254,0.9873146686676845,80,3922,98,12,235,568,,24,60,28,11,パールセラフ Lv83 / ルーメンオウル Lv98 / コーラルルーメ Lv89
40,rush,速攻,4177264147,stuck,0,thunder_ruins,boss_retry_cap,1000,400,80,445,234,211,1583,236,209,0,0,635,0,0,8,0,0,0,2,2,2,0,1,1,1,0,0,0,794,47640,445,26,8,46131,10000,2750,10849,58961,58489,0.9919947083665474,80,472,49,9,,,,3,32,3,6,トゲホッグ Lv48 / ぷるミン Lv49 / プフバット Lv49
41,balanced,バランス,3577763205,completed,1,,,1000,400,80,528,353,175,7518,353,175,0,0,563,105,1,192,0,41,37,50,14,12,0,1,1,1,0,0,0,3309,198540,528,44,10,224862,64330,4500,67213,293772,265753,0.9046233133178111,80,28019,92,11,346,519,,15,61,15,13,ストームジン Lv75 / ルーメンオウル Lv92 / ヘルナイト Lv77
42,collector,収集・配合,264166195,completed,1,,,1000,400,80,708,515,193,6432,526,182,0,0,646,111,1,142,0,28,17,104,23,19,427,428,379,0.8855140186915887,2,64,62,3896,233760,708,45,12,305015,64480,6850,109787,376425,364897,0.9693750415089327,80,11528,91,13,53,,,22,66,25,13,ヘルナイト Lv89 / ゲイルグリフ Lv88 / コーラルルーメ Lv91
43,rush,速攻,3066701888,stuck,0,thunder_ruins,boss_retry_cap,1000,400,80,470,245,225,1567,250,220,0,0,638,0,0,9,0,0,0,2,2,2,0,1,1,1,0,0,0,753,45180,470,26,8,43430,10000,2750,10625,56260,55805,0.9919125488801991,80,455,48,9,,,,3,32,3,6,リーファウル Lv47 / ぷるミン Lv48 / プフバット Lv48
44,balanced,バランス,763825714,stuck,0,prism_sanctuary,boss_retry_cap,1000,400,80,487,325,162,1957,325,162,0,0,502,18,1,33,0,0,0,28,10,9,0,1,1,1,0,0,0,1498,89880,487,33,9,93772,15980,3550,22397,113382,112277,0.9902541849676315,80,1105,64,10,243,,,11,36,11,7,スノーフェア Lv63 / グルーモス Lv63 / リーファウル Lv64
45,collector,収集・配合,1791955103,stuck,0,sky_ruins,boss_stalled,1000,400,80,704,496,208,16320,496,207,1,1,688,128,1,400,0,97,46,111,26,24,394,395,342,0.8658227848101265,1,41,0,3428,205680,704,44,11,280503,55980,5600,99054,342163,324434,0.9481855139217273,80,17729,100,12,195,522,,26,63,28,12,パールセラフ Lv94 / ルーメンオウル Lv100 / 雲ぷる Lv78
46,rush,速攻,1983426900,stuck,0,tower,boss_retry_cap,1000,400,80,336,174,162,1184,178,158,0,0,466,0,0,10,0,0,0,3,2,2,0,1,1,1,0,0,0,333,19980,336,23,6,18128,6400,1550,5890,26158,25870,0.9889899839437266,80,288,34,7,,,,3,23,3,4,リーフリン Lv32 / プフバット Lv33 / ぷるミン Lv34
47,balanced,バランス,1814828459,completed,1,,,1000,400,80,496,328,168,5569,339,157,0,0,522,141,1,84,0,53,0,63,15,13,0,1,1,1,0,0,0,3652,219120,496,44,10,244202,64330,4500,70362,313112,289482,0.9245317969288944,80,23630,100,11,112,,,16,63,16,13,アビスジェリー Lv95 / クラッグベア Lv100 / ヨミオオカミ Lv100
48,collector,収集・配合,2683479322,completed,1,,,1000,400,80,730,516,214,17159,503,227,0,0,859,154,1,294,0,108,39,122,28,26,398,399,345,0.8646616541353384,1,43,0,3360,201600,730,45,11,293857,64480,5600,122071,364017,343571,0.9438322935467299,80,20446,100,12,442,484,,28,64,30,13,パールセラフ Lv100 / ドゥームゲイザー Lv70 / ルーメンオウル Lv100
49,rush,速攻,2849829605,stuck,0,prism_sanctuary,boss_retry_cap,1000,400,80,598,314,284,1999,315,283,0,0,866,0,0,8,0,0,0,3,2,2,0,1,1,1,0,0,0,1277,76620,598,28,9,77074,12500,3550,16103,93204,92723,0.9948392772842367,80,481,60,10,,,,3,35,3,7,ドリモール Lv58 / ぷるミン Lv59 / プフバット Lv60
